Datum,Schifffahrt
2016-12-24,380698
2016-12-25,380698
2016-12-26,380698
2016-12-27,380698
2016-12-28,380698
2016-12-29,380698
2016-12-30,380698
2016-12-31,380698
2017-01-01,269633
2017-01-02,269633
2017-01-03,269633
2017-01-04,269633
2017-01-05,269633
2017-01-06,269633
2017-01-07,269633
2017-01-08,269633
2017-01-09,269633
2017-01-10,269633
2017-01-11,269633
2017-01-12,269633
2017-01-13,269633
2017-01-14,269633
2017-01-15,269633
2017-01-16,269633
2017-01-17,269633
2017-01-18,269633
2017-01-19,269633
2017-01-20,269633
2017-01-21,269633
2017-01-22,269633
2017-01-23,269633
2017-01-24,269633
2017-01-25,269633
2017-01-26,269633
2017-01-27,269633
2017-01-28,269633
2017-01-29,269633
2017-01-30,269633
2017-01-31,269633
2017-02-01,309153
2017-02-02,309153
2017-02-03,309153
2017-02-04,309153
2017-02-05,309153
2017-02-06,309153
2017-02-07,309153
2017-02-08,309153
2017-02-09,309153
2017-02-10,309153
2017-02-11,309153
2017-02-12,309153
2017-02-13,309153
2017-02-14,309153
2017-02-15,309153
2017-02-16,309153
2017-02-17,309153
2017-02-18,309153
2017-02-19,309153
2017-02-20,309153
2017-02-21,309153
2017-02-22,309153
2017-02-23,309153
2017-02-24,309153
2017-02-25,309153
2017-02-26,309153
2017-02-27,309153
2017-02-28,309153
2017-03-01,350884
2017-03-02,350884
2017-03-03,350884
2017-03-04,350884
2017-03-05,350884
2017-03-06,350884
2017-03-07,350884
2017-03-08,350884
2017-03-09,350884
2017-03-10,350884
2017-03-11,350884
2017-03-12,350884
2017-03-13,350884
2017-03-14,350884
2017-03-15,350884
2017-03-16,350884
2017-03-17,350884
2017-03-18,350884
2017-03-19,350884
2017-03-20,350884
2017-03-21,350884
2017-03-22,350884
2017-03-23,350884
2017-03-24,350884
2017-03-25,350884
2017-03-26,350884
2017-03-27,350884
2017-03-28,350884
2017-03-29,350884
2017-03-30,350884
2017-03-31,350884
2017-04-01,586707
2017-04-02,586707
2017-04-03,586707
2017-04-04,586707
2017-04-05,586707
2017-04-06,586707
2017-04-07,586707
2017-04-08,586707
2017-04-09,586707
2017-04-10,586707
2017-04-11,586707
2017-04-12,586707
2017-04-13,586707
2017-04-14,586707
2017-04-15,586707
2017-04-16,586707
2017-04-17,586707
2017-04-18,586707
2017-04-19,586707
2017-04-20,586707
2017-04-21,586707
2017-04-22,586707
2017-04-23,586707
2017-04-24,586707
2017-04-25,586707
2017-04-26,586707
2017-04-27,586707
2017-04-28,586707
2017-04-29,586707
2017-04-30,586707
2017-05-01,687627
2017-05-02,687627
2017-05-03,687627
2017-05-04,687627
2017-05-05,687627
2017-05-06,687627
2017-05-07,687627
2017-05-08,687627
2017-05-09,687627
2017-05-10,687627
2017-05-11,687627
2017-05-12,687627
2017-05-13,687627
2017-05-14,687627
2017-05-15,687627
2017-05-16,687627
2017-05-17,687627
2017-05-18,687627
2017-05-19,687627
2017-05-20,687627
2017-05-21,687627
2017-05-22,687627
2017-05-23,687627
2017-05-24,687627
2017-05-25,687627
2017-05-26,687627
2017-05-27,687627
2017-05-28,687627
2017-05-29,687627
2017-05-30,687627
2017-05-31,687627
2017-06-01,788939
2017-06-02,788939
2017-06-03,788939
2017-06-04,788939
2017-06-05,788939
2017-06-06,788939
2017-06-07,788939
2017-06-08,788939
2017-06-09,788939
2017-06-10,788939
2017-06-11,788939
2017-06-12,788939
2017-06-13,788939
2017-06-14,788939
2017-06-15,788939
2017-06-16,788939
2017-06-17,788939
2017-06-18,788939
2017-06-19,788939
2017-06-20,788939
2017-06-21,788939
2017-06-22,788939
2017-06-23,788939
2017-06-24,788939
2017-06-25,788939
2017-06-26,788939
2017-06-27,788939
2017-06-28,788939
2017-06-29,788939
2017-06-30,788939
2017-07-01,1191653
2017-07-02,1191653
2017-07-03,1191653
2017-07-04,1191653
2017-07-05,1191653
2017-07-06,1191653
2017-07-07,1191653
2017-07-08,1191653
2017-07-09,1191653
2017-07-10,1191653
2017-07-11,1191653
2017-07-12,1191653
2017-07-13,1191653
2017-07-14,1191653
2017-07-15,1191653
2017-07-16,1191653
2017-07-17,1191653
2017-07-18,1191653
2017-07-19,1191653
2017-07-20,1191653
2017-07-21,1191653
2017-07-22,1191653
2017-07-23,1191653
2017-07-24,1191653
2017-07-25,1191653
2017-07-26,1191653
2017-07-27,1191653
2017-07-28,1191653
2017-07-29,1191653
2017-07-30,1191653
2017-07-31,1191653
2017-08-01,1049732
2017-08-02,1049732
2017-08-03,1049732
2017-08-04,1049732
2017-08-05,1049732
2017-08-06,1049732
2017-08-07,1049732
2017-08-08,1049732
2017-08-09,1049732
2017-08-10,1049732
2017-08-11,1049732
2017-08-12,1049732
2017-08-13,1049732
2017-08-14,1049732
2017-08-15,1049732
2017-08-16,1049732
2017-08-17,1049732
2017-08-18,1049732
2017-08-19,1049732
2017-08-20,1049732
2017-08-21,1049732
2017-08-22,1049732
2017-08-23,1049732
2017-08-24,1049732
2017-08-25,1049732
2017-08-26,1049732
2017-08-27,1049732
2017-08-28,1049732
2017-08-29,1049732
2017-08-30,1049732
2017-08-31,1049732
2017-09-01,628698
2017-09-02,628698
2017-09-03,628698
2017-09-04,628698
2017-09-05,628698
2017-09-06,628698
2017-09-07,628698
2017-09-08,628698
2017-09-09,628698
2017-09-10,628698
2017-09-11,628698
2017-09-12,628698
2017-09-13,628698
2017-09-14,628698
2017-09-15,628698
2017-09-16,628698
2017-09-17,628698
2017-09-18,628698
2017-09-19,628698
2017-09-20,628698
2017-09-21,628698
2017-09-22,628698
2017-09-23,628698
2017-09-24,628698
2017-09-25,628698
2017-09-26,628698
2017-09-27,628698
2017-09-28,628698
2017-09-29,628698
2017-09-30,628698
2017-10-01,548999
2017-10-02,548999
2017-10-03,548999
2017-10-04,548999
2017-10-05,548999
2017-10-06,548999
2017-10-07,548999
2017-10-08,548999
2017-10-09,548999
2017-10-10,548999
2017-10-11,548999
2017-10-12,548999
2017-10-13,548999
2017-10-14,548999
2017-10-15,548999
2017-10-16,548999
2017-10-17,548999
2017-10-18,548999
2017-10-19,548999
2017-10-20,548999
2017-10-21,548999
2017-10-22,548999
2017-10-23,548999
2017-10-24,548999
2017-10-25,548999
2017-10-26,548999
2017-10-27,548999
2017-10-28,548999
2017-10-29,548999
2017-10-30,548999
2017-10-31,548999
2017-11-01,345453
2017-11-02,345453
2017-11-03,345453
2017-11-04,345453
2017-11-05,345453
2017-11-06,345453
2017-11-07,345453
2017-11-08,345453
2017-11-09,345453
2017-11-10,345453
2017-11-11,345453
2017-11-12,345453
2017-11-13,345453
2017-11-14,345453
2017-11-15,345453
2017-11-16,345453
2017-11-17,345453
2017-11-18,345453
2017-11-19,345453
2017-11-20,345453
2017-11-21,345453
2017-11-22,345453
2017-11-23,345453
2017-11-24,345453
2017-11-25,345453
2017-11-26,345453
2017-11-27,345453
2017-11-28,345453
2017-11-29,345453
2017-11-30,345453
2017-12-01,389578
2017-12-02,389578
2017-12-03,389578
2017-12-04,389578
2017-12-05,389578
2017-12-06,389578
2017-12-07,389578
2017-12-08,389578
2017-12-09,389578
2017-12-10,389578
2017-12-11,389578
2017-12-12,389578
2017-12-13,389578
2017-12-14,389578
2017-12-15,389578
2017-12-16,389578
2017-12-17,389578
2017-12-18,389578
2017-12-19,389578
2017-12-20,389578
2017-12-21,389578
2017-12-22,389578
2017-12-23,389578
2017-12-24,389578
